m4,w9,w9,s3,f1,s3,f1,w9,w9,b2,f1,f1,f1,s3,m4,b2,f1,m4,b2,b2
f1,s3,b2,f1,w9,w9,w9,b2,m4,m4,w9,b2,m4,b2,m4,b2,b2,w9,w9,w9
f1,f1,s3,w9,f1,f1,w9,f1,f1,m4,b2,w9,f1,b2,w9,f1,s3,w9,b2,m4
b2,f1,f1,w9,b2,m4,s3,b2,m4,w9,w9,f1,s3,w9,w9,b2,f1,w9,m4,w9
w9,m4,w9,m4,w9,m4,f1,f1,f1,w9,s3,w9,w9,w9,w9,f1,b2,b2,w9,f1
w9,b2,f1,s3,w9,f1,m4,s3,b2,f1,w9,w9,b2,m4,s3,f1,b2,m4,b2,b2
m4,f1,w9,m4,m4,w9,s3,w9,b2,m4,w9,f1,s3,f1,b2,f1,f1,m4,b2,m4
b2,b2,m4,f1,f1,b2,w9,f1,m4,w9,f1,f1,f1,f1,f1,f1,f1,f1,w9,f1
w9,f1,w9,b2,w9,w9,w9,w9,w9,f1,m4,b2,f1,w9,f1,f1,b2,m4,m4,b2
f1,f1,f1,f1,w9,m4,s3,m4,f1,w9,b2,m4,b2,f1,w9,b2,m4,w9,s3,f1
b2,m4,f1,f1,b2,f1,w9,w9,b2,b2,w9,f1,m4,s3,f1,w9,f1,b2,b2,b2
f1,m4,f1,f1,w9,b2,f1,f1,w9,f1,f1,m4,m4,b2,b2,w9,b2,f1,w9,m4
m4,w9,w9,w9,f1,f1,w9,f1,s3,w9,w9,b2,m4,m4,f1,f1,w9,f1,b2,b2
m4,m4,w9,f1,w9,w9,m4,f1,w9,b2,f1,b2,w9,f1,w9,w9,f1,f1,f1,m4
f1,w9,b2,s3,f1,m4,m4,w9,b2,w9,b2,w9,m4,w9,m4,w9,f1,f1,s3,b2
w9,w9,w9,b2,m4,w9,b2,f1,w9,f1,f1,f1,f1,f1,b2,b2,w9,f1,w9,w9
w9,m4,w9,b2,b2,w9,w9,f1,f1,f1,f1,m4,f1,b2,s3,f1,w9,m4,m4,m4
f1,w9,m4,b2,w9,f1,f1,m4,f1,s3,w9,f1,b2,m4,w9,f1,m4,b2,s3,b2
w9,m4,m4,w9,w9,f1,m4,m4,f1,s3,w9,f1,f1,w9,f1,f1,w9,f1,f1,w9
f1,f1,m4,f1,f1,m4,f1,b2,w9,w9,m4,b2,m4,f1,s3,w9,f1,m4,f1,f1
