m4,b2,f1,s3,m4,m4,m4,b2,m4,b2,m4,f1,m4,b2,m4,f1,f1,b2,m4,b2
b2,f1,m4,w0,m4,f1,m4,f1,m4,w0,m4,w0,b2,m4,f1,m4,m4,m4,m4,m4
m4,f1,m4,m4,b2,m4,w0,m4,b2,f1,m4,b2,m4,m4,w0,m4,m4,w0,m4,w0
w0,w0,m4,f1,m4,b2,f1,m4,m4,b2,f1,f1,m4,m4,f1,s3,f1,m4,f1,m4
f1,m4,b2,f1,s3,w0,m4,m4,m4,s3,b2,m4,f1,f1,m4,b2,s3,f1,m4,f1
m4,f1,f1,s3,s3,m4,b2,m4,f1,m4,m4,m4,m4,s3,m4,s3,w0,w0,m4,m4
m4,f1,f1,m4,m4,f1,b2,m4,f1,m4,w0,m4,b2,m4,b2,f1,m4,m4,m4,b2
m4,f1,m4,m4,f1,b2,m4,f1,m4,m4,f1,b2,s3,b2,b2,f1,m4,f1,s3,m4
m4,f1,b2,m4,m4,m4,m4,f1,f1,b2,m4,b2,w0,m4,m4,s3,m4,b2,m4,w0
f1,w0,s3,f1,m4,b2,m4,m4,f1,f1,m4,b2,s3,m4,s3,m4,s3,m4,m4,m4
w0,m4,m4,f1,m4,m4,m4,b2,f1,m4,m4,w0,m4,f1,b2,f1,m4,f1,f1,b2
m4,m4,b2,s3,b2,s3,f1,m4,m4,f1,b2,m4,m4,m4,m4,f1,f1,f1,m4,m4
m4,m4,m4,m4,m4,w0,m4,s3,f1,m4,f1,m4,m4,m4,b2,f1,f1,m4,w0,f1
b2,m4,m4,m4,b2,m4,s3,s3,f1,w0,m4,f1,f1,m4,f1,b2,f1,f1,m4,m4
f1,s3,f1,b2,m4,m4,m4,m4,f1,f1,m4,s3,m4,b2,s3,b2,m4,m4,b2,m4
m4,f1,b2,m4,b2,b2,m4,f1,f1,m4,s3,f1,b2,f1,m4,m4,f1,m4,f1,b2
m4,f1,m4,b2,m4,f1,f1,b2,b2,w0,b2,m4,m4,m4,m4,m4,b2,m4,b2,f1
w0,f1,f1,m4,f1,m4,s3,m4,m4,m4,w0,s3,f1,b2,f1,m4,f1,m4,s3,f1
s3,f1,b2,s3,f1,m4,m4,m4,f1,w0,b2,f1,s3,f1,s3,f1,f1,b2,f1,s3
b2,f1,f1,b2,w0,m4,m4,m4,s3,f1,m4,b2,b2,m4,m4,s3,f1,f1,s3,m4
